Node, run , hit , miss , und , Acc , Filtro 
3 ,32 ,376.0 ,52.0 ,102.0 ,0.295013799806 ,0.33
1 ,33 ,416.0 ,94.0 ,20.0 ,0.302182140963 ,0.33
2 ,33 ,382.0 ,61.0 ,87.0 ,0.283325731468 ,0.33
3 ,33 ,382.0 ,61.0 ,87.0 ,0.305365943356 ,0.33
1 ,34 ,414.0 ,97.0 ,19.0 ,0.304502687938 ,0.33
2 ,34 ,430.0 ,48.0 ,52.0 ,0.307730905116 ,0.33
3 ,34 ,452.0 ,30.0 ,48.0 ,0.33738630364 ,0.33
1 ,35 ,415.0 ,98.0 ,17.0 ,0.309216975789 ,0.33
2 ,35 ,415.0 ,51.0 ,64.0 ,0.29768209677 ,0.33
3 ,35 ,432.0 ,39.0 ,59.0 ,0.333243059425 ,0.33
1 ,36 ,424.0 ,93.0 ,13.0 ,0.314156956315 ,0.33
2 ,36 ,442.0 ,36.0 ,52.0 ,0.298190435504 ,0.33
3 ,36 ,453.0 ,31.0 ,46.0 ,0.340494194653 ,0.33
1 ,37 ,434.0 ,77.0 ,19.0 ,0.307820325529 ,0.33
2 ,37 ,421.0 ,54.0 ,55.0 ,0.318144732642 ,0.33
3 ,37 ,433.0 ,33.0 ,64.0 ,0.318981354216 ,0.33
1 ,38 ,422.0 ,85.0 ,23.0 ,0.306613326732 ,0.33
2 ,38 ,385.0 ,54.0 ,91.0 ,0.304745383091 ,0.33
3 ,38 ,410.0 ,36.0 ,84.0 ,0.306981349136 ,0.33
1 ,39 ,409.0 ,103.0 ,18.0 ,0.322173472902 ,0.33
2 ,39 ,427.0 ,43.0 ,60.0 ,0.311682156499 ,0.33
3 ,39 ,381.0 ,50.0 ,99.0 ,0.300580889132 ,0.33
1 ,40 ,429.0 ,84.0 ,17.0 ,0.308477777137 ,0.33
2 ,40 ,422.0 ,40.0 ,68.0 ,0.300672154005 ,0.33
3 ,40 ,373.0 ,49.0 ,108.0 ,0.304299504702 ,0.33
1 ,41 ,422.0 ,88.0 ,20.0 ,0.303237464511 ,0.33
2 ,41 ,423.0 ,46.0 ,61.0 ,0.306702445235 ,0.33
3 ,41 ,441.0 ,31.0 ,58.0 ,0.347176067918 ,0.33
1 ,42 ,416.0 ,95.0 ,19.0 ,0.309860003792 ,0.33
2 ,42 ,394.0 ,65.0 ,71.0 ,0.326209595737 ,0.33
3 ,42 ,416.0 ,38.0 ,76.0 ,0.322262403442 ,0.33
1 ,43 ,428.0 ,84.0 ,18.0 ,0.301320634941 ,0.33
2 ,43 ,395.0 ,60.0 ,75.0 ,0.323249301225 ,0.33
3 ,43 ,422.0 ,40.0 ,68.0 ,0.3208971341 ,0.33
1 ,44 ,407.0 ,111.0 ,12.0 ,0.306866201604 ,0.33
2 ,44 ,439.0 ,37.0 ,54.0 ,0.304123073846 ,0.33
3 ,44 ,435.0 ,41.0 ,54.0 ,0.336518969591 ,0.33
1 ,45 ,426.0 ,88.0 ,16.0 ,0.301972061736 ,0.33
2 ,45 ,428.0 ,49.0 ,53.0 ,0.325856921904 ,0.33
3 ,45 ,367.0 ,54.0 ,109.0 ,0.308167445394 ,0.33
1 ,46 ,438.0 ,82.0 ,10.0 ,0.313727866194 ,0.33
2 ,46 ,388.0 ,59.0 ,83.0 ,0.312566958244 ,0.33
3 ,46 ,357.0 ,68.0 ,105.0 ,0.308584667755 ,0.33
1 ,47 ,418.0 ,92.0 ,20.0 ,0.335716344937 ,0.33
2 ,47 ,416.0 ,55.0 ,59.0 ,0.319946685706 ,0.33
3 ,47 ,364.0 ,69.0 ,97.0 ,0.315494011306 ,0.33
1 ,48 ,424.0 ,83.0 ,23.0 ,0.305020873408 ,0.33
2 ,48 ,432.0 ,51.0 ,47.0 ,0.300716480473 ,0.33
3 ,48 ,442.0 ,26.0 ,62.0 ,0.323327327961 ,0.33
1 ,49 ,412.0 ,105.0 ,13.0 ,0.31553029205 ,0.33
